id	wave	group	title	owns	depends	acceptance
W0.1	0	data	Rohdaten nach Thema sortieren	data/** (nur Verschiebungen);windkraft/calc/wind_zones.py (hartkodierte Pfade)	—	Alte Kette läuft unverändert; Finalisierung aus vorhandenen Layern liefert bitgleiches TIF.
W0.2	0	data	Pfadvertrag anlegen	pipeline/contract.py (neu);config.json	W0.1	Jeder Rohpfad, jede Prep-Ausgabe, jeder Layername und jeder Produktpfad ist genau einmal deklariert und importierbar.
W0.3	0	data	Verzeichnisgerüst und Make-Ziele	build/ out/ pipeline/ (neu);.gitignore;Makefile	W0.2	make · make prep · make all · make test existieren; make läuft die heutige Kette unverändert.
W1.1	1	clean	Adress-Cache-Weiche entfernen	windkraft/calc/bev_register.py	W0.3	cache_dir wirkt tatsächlich; Cache landet unter build/, nicht in data/.
W1.2	1	clean	Tote Daten löschen	data/osm_power_lines.gpkg;data/windkraftzonen_shapefile_2024.json;data/…/Aktualitaetsstand.txt;data/…/.claude/;data/WINDKRAFT_AUSSCHLUSSZONE.zip;data/README.md	W0.3	Sechs Pfade weg; TIF unverändert (keiner erreichte ein Band).
W1.3	1	data	Hardlinks auflösen	data/** (nur Inodes, kein Inhalt)	W0.3	find data -type f -links +1 liefert nichts; Prüfsummen vorher/nachher identisch; ~13 GB mehr belegt.
W1.4	1	clean	Wächter für Rohdaten	tools/check_raw_only.py (neu);tools/check_hardlink_safety.py	W0.3	Bricht ab, wenn in data/ etwas Abgeleitetes liegt oder eine Datei Link-Count > 1 hat.
W1.5	1	clean	Tote Skripte löschen	scripts/webmap/build_layer_viewer.py;scripts/analysis/build_v2_dashboard_data.py;scripts/noe/derive_pdf_hig_sources.py	W0.3	Kein Verweis mehr im Repo; Kette läuft unverändert.
W1.6	1	clean	NÖ-PDF-HiG-Sackgasse entfernen	scripts/widmung_v2/02_build_hig_sources.py;windkraft/calc/hig_source_masks.py	W0.3	Checkpoint und harte Vorbedingung sind weg; TIF bitgleich — der Layer erreichte nachweislich kein Band.
W1.7	1	clean	Ausschlusszonen entfernen	windkraft/calc/wind_zones.py	W0.1	Stmk2026Aus und die AUSSCHLUSSZONE-Registrierung sind weg. Einzige zulässige Bandänderung: Band 37 in der Steiermark.
W1.8	1	clean	Paketmetadaten bereinigen	pyproject.toml	W0.3	Toter Entry-Point weg; PyMuPDF harte Abhängigkeit; Paket installierbar, sodass sys.path-Präambeln entfallen können.
W1.9	1	clean	Doku-Widersprüche korrigieren	README.md	W0.3	Status stimmt; die Behauptung, die Kataster-Kette laufe nur im Altrepo, ist entfernt.
W1.P1	1	prep	Prep: Verwaltungsgrenzen	pipeline/prep/admin.py	W0.2	build/prep/admin/ enthält Gemeinden und Bundesländer in EPSG:31287; Fingerabdruck der Eingänge geschrieben.
W1.P2	1	prep	Prep: Kataster	pipeline/prep/kataster/;scripts/preprocessing/* (Umzug)	W0.2	Geoparquet aus Rohdaten; Vorabprüfung mit einem Bundesland, dann voller Lauf. Feldschema identisch zum bestehenden.
W1.P3	1	prep	Prep: Adressregister	pipeline/prep/adressen.py	W0.2, W1.1	Parquets unter build/prep/adressen/; Zeilenzahl identisch zum bisherigen Cache.
W1.P4	1	prep	Prep: Flächenwidmung	pipeline/prep/widmung.py	W0.2	Drei Bündel als GeoPackage; Featurezahl je Bundesland identisch zum heutigen Zwischenstand.
W1.P5	1	prep	Prep: OSM, zwei Stufen	pipeline/prep/osm/	W0.2	Extraktion und Layerableitung getrennt; osmium als harte Vorbedingung statt stillem Fallback.
