id	kind	layer	stage	raw_class	in_degree	out_degree	producers	consumers	flags	path	label	notes
<layer_dir>/<name>.tif	file	output	library	derived_in_repo	2	0	1	1		<layer_dir>/<name>.tif	Einzel-Kondition-Layer (Checkpoint-Raster)	[frag_D] abschichtung_common.py:1417-1447 layer_path()/write_layer()/layer_done(); layer_done() hat try/except Exception -> False (stiller Fallback: ungültige/inkompatible Checkpoints werden als 'nicht fertig' behandelt statt Fehler zu werfen)
<osm_pbf_cache_dir>/*.osm.pbf|*.geojsonseq	file	intermediate	library	derived_in_repo	2	0	1	1		<osm_pbf_cache_dir>/<stem>.osm.pbf, <cache_key>.geojsonseq	OSM-PBF-Extrakt-Cache (bbox-geclippt + layer-gefiltert)	[frag_D] abschichtung_common.py:433-508 pbf_for_bounds()/osm_layer_path(); mtime-basierter Re-Extract, kein harter Fehler
<raster>.bands.json	file	output	library	derived_in_repo	2	0	2	0	dead_end,unused	<raster_stem>.bands.json	Band-Manifest (Contract-JSON neben jedem geschriebenen Raster)	[frag_D] band_manifest.py:541-559 write_band_manifest()/manifest_path_for()
bin:gdal	external	raw	control	unknown	0	0	0	0			gdal (gdalinfo o.ae. als CLI)	[frag_F] Keine subprocess-Aufrufe an GDAL-CLI-Binaries gefunden; GDAL wird nur indirekt ueber die rasterio/pyogrio-Python-Bindings (pyproject.toml dependencies) genutzt, nicht als externes Binary. gdalinfo auf diesem System NICHT installiert (which gdalinfo: nicht gefunden), aber auch nicht referenziert.
bin:ogr2ogr	external	raw	control	unknown	0	0	0	0			ogr2ogr	[frag_F] Keine subprocess-Aufrufe im Code gefunden (grep leer). Auf diesem System NICHT installiert (which ogr2ogr: nicht gefunden). Keine Abhaengigkeit der Steuerungsebene.
bin:osmium	external	raw	control	code	1	0	0	0			osmium (osmium-tool)	[frag_F] Per subprocess.run aufgerufen (_run_osmium, abschichtung_common.py:413-414; Aufrufe fuer 'extract' Z.464, 'tags-filter' Z.504, 'export' Z.509). Auf diesem System installiert unter /opt/homebrew/bin/osmium (which osmium: gefunden).
cfg:buffers.major_airport_osm_ids	config_key	config	control	manual	2	0	0	0			buffers.major_airport_osm_ids	[frag_A] 6 OSM-IDs der Hauptflughaefen; steuert Auswahl in build_airport_corridor_masks().
cfg:paths.data_dir	config_key	config	control	code	1	0	0	0		config.json	paths.data_dir -> data/	[frag_D] aufgelöst config.py:24-26 | [frag_F] Existiert (Verzeichnis). Gegrept in windkraft/config.py:24. | RAW_CLASS-ENTSCHEIDUNG: code. Config-Key ist Teil der Codebasis (config/config.json + windkraft/config.py), keine eigenstaendigen Daten-Bytes auf der Platte -- raw_class beschreibt Byte-Herkunft, hier gibt es nur den Code selbst. Konsistent mit den bereits unstrittig als code eingestuften uebrigen cfg:paths.*-Keys.
cfg:paths.dgm	config_key	config	control	code	3	1	0	0		data/DGM_R25.tif	paths.dgm	[frag_A] Loest auf zu data/DGM_R25.tif; Grid-Template (CRS/Transform/Shape) fuer load_grid(). | [frag_D] aufgelöst config.py:24-26; gelesen abschichtung_common.py:307,1256 (dient zusätzlich als Grid-Template) | [frag_F] Existiert. Gelesen in abschichtung_common.py:307,1256. Bestimmt laut config.json-Kommentar das Grid/CRS der v2-Kette (raster-Block wird dafuer ignoriert). | RAW_CLASS-ENTSCHEIDUNG: code. Config-Key ist Teil der Codebasis (config/config.json + windkraft/config.py), keine eigenstaendigen Daten-Bytes auf der Platte -- raw_class beschreibt Byte-Herkunft, hier gibt es nur den Code selbst. Konsistent mit den bereits unstrittig als code eingestuften uebrigen cfg:paths.*-Keys.
cfg:paths.nsg_gpkg	config_key	config	control	code	1	0	0	0		SG_AT_2024_v_April.gpkg	"paths.nsg_gpkg = ""SG_AT_2024_v_April.gpkg"""	[frag_D] NICHT im Pfad-Resolve-Loop von config.py (Z.24-25) -> bleibt Roh-String, kein config_dir-Join; wird als Name für zipfile.extract() in abschichtung_common.py:1174-1176 verwendet | [frag_F] Kein eigenstaendiger Dateisystempfad, sondern Name des Members innerhalb von nsg_zip (zipfile.ZipFile.extract, abschichtung_common.py:1174). Als eigenstaendiger Pfad existiert er nicht (weder relativ zum Repo-Root noch zu data/) - das ist erwartet, kein Fehler. | RAW_CLASS-ENTSCHEIDUNG: code. Config-Key ist Teil der Codebasis (config/config.json + windkraft/config.py), keine eigenstaendigen Daten-Bytes auf der Platte -- raw_class beschreibt Byte-Herkunft, hier gibt es nur den Code selbst. Konsistent mit den bereits unstrittig als code eingestuften uebrigen cfg:paths.*-Keys.
